event_id,choice_index,type,param,value
desert_merchant_tip,,has_companion,Merchant,1
desert_heat_madness,,max_food,,20
desert_heat_madness,1,min_food,,8
desert_heat_madness,3,has_companion,Healer,1
highland_altitude,3,has_companion,Guide,1
highland_tibetan_patrol,1,min_money,,15
highland_tibetan_patrol,3,min_language_proficiency,Tibetan,2
highland_pamir_bandits,,min_danger,,30
highland_pamir_bandits,1,min_money,,20
highland_pamir_bandits,3,has_companion,Guard,1
highland_yak_herders,3,has_item,Tea,1
highland_monastery,3,min_money,,15
highland_hermit,1,min_food,,5
highland_hermit,3,min_language_proficiency,Tibetan,1
highland_warrior_monk,1,min_language_proficiency,Tibetan,1
highland_mountain_guide,,max_danger,,60
highland_mountain_guide,1,min_money,,10
highland_mountain_guide,1,min_language_proficiency,Tibetan,1
highland_greek_monk,1,min_language_proficiency,Greek,1
highland_greek_monk,3,has_companion,Healer,1
highland_pass_lights,,min_danger,,20
highland_mountain_spirit,1,min_food,,5
highland_mountain_spirit,3,min_language_proficiency,Tibetan,2
highland_elder_blessing,,max_danger,,50
highland_elder_blessing,3,has_companion,Translator,1
highland_cart_slide,,max_cart_durability,,100
highland_cart_slide,3,has_companion,Guide,1
highland_broken_axle,,max_cart_durability,,80
highland_broken_axle,1,min_money,,12
highland_abandoned_shrine,3,min_language_proficiency,Tibetan,2
wolves_attack,3,has_companion,Guard,1
suspicious_travelers,,min_danger,,15
suspicious_travelers,3,has_companion,Guard,1
unmarked_fork,3,has_companion,Guide,1
cliff_path,3,has_companion,Guide,1
poisoned_stream,3,has_companion,Healer,1
snake_bite,3,has_companion,Healer,1
foreign_caravan_trade,3,has_companion,Translator,1
ruin_inscriptions,3,has_companion,Translator,1
cheap_goods,3,has_companion,Merchant,1
monopolist,3,has_companion,Merchant,1
camp_bandit_raid,,in_camp,,1
camp_bandit_raid,,min_danger,,30
camp_bandit_raid,3,has_companion,Guard,1
camp_wild_beasts,,in_camp,,1
camp_eerie_sounds,,in_camp,,1
camp_eerie_sounds,3,has_companion,Guide,1
camp_thief,,in_camp,,1
camp_thief,,min_danger,,40
camp_thief,3,has_companion,Guard,1
camp_stranger_guest,,in_camp,,1
camp_peddler,,in_camp,,1
camp_peddler,3,has_companion,Merchant,1
camp_pilgrim_story,,in_camp,,1
camp_patrol_check,,in_camp,,1
camp_patrol_check,3,has_companion,Translator,1
camp_companion_quarrel,,in_camp,,1
camp_companion_quarrel,,min_companions,,2
camp_fireside_tale,,in_camp,,1
camp_fireside_tale,,min_companions,,1
camp_sick_animal,,in_camp,,1
camp_sick_animal,3,has_companion,Healer,1
camp_repair_mishap,,in_camp,,1
camp_repair_mishap,,max_cart_durability,,120
camp_sudden_storm,,in_camp,,1
camp_snake_in_gear,,in_camp,,1
camp_snake_in_gear,3,has_companion,Healer,1
camp_flash_flood,,in_camp,,1
camp_flash_flood,3,has_companion,Guide,1
camp_starry_night,,in_camp,,1
camp_prophetic_dream,,in_camp,,1
camp_ghost_lights,,in_camp,,1
camp_passing_caravan,,in_camp,,1
camp_passing_caravan,3,has_companion,Merchant,1
camp_language_sage,,in_camp,,1
camp_language_sage,4,has_companion,Translator,1
crisis_famine_mutiny,,max_food,,0
crisis_famine_mutiny,3,has_companion,Guard,1
crisis_famine_sell,,max_food,,0
crisis_famine_sell,3,has_companion,Merchant,1
crisis_poverty_debt,,max_money,,0
crisis_poverty_theft,,max_money,,0
crisis_siege,,min_danger,,80
crisis_siege,3,has_companion,Guard,1
crisis_desertion,,min_danger,,80
crisis_unrest,,max_morale,,20
crisis_mutiny,,max_morale,,20
crisis_mutiny,3,has_companion,Guard,1
crisis_cart_collapse,,max_cart_durability,,15
crisis_cart_emergency,,max_cart_durability,,15
crisis_cart_emergency,3,has_companion,Guide,1
crisis_pariah,,max_reputation,,10
crisis_pariah,3,has_companion,Translator,1
crisis_hostile_locals,,max_reputation,,10
crisis_hostile_locals,3,has_companion,Guard,1
silk_for_passage,,has_item,Brocade,1
silk_for_passage,1,has_item,Brocade,1
tea_for_hermit,,has_item,Dates,1
tea_for_hermit,1,has_item,Dates,1
incense_offering,,has_item,Frankincense,1
incense_offering,1,has_item,Frankincense,1
customs_check,3,has_companion,Merchant,1
caravan_exchange,3,has_companion,Translator,1
lost_child,3,has_companion,Healer,1
pilgrim_group,3,has_companion,Translator,1
minor_good_sleep,,in_camp,,1
minor_mosquitoes,,in_camp,,1
minor_wolf_howl,,in_camp,,1
minor_shooting_star,,in_camp,,1
minor_spilled_grain,,min_food,,3
desert_night_cold,,in_camp,,1
highland_frost_morning,,in_camp,,1
valley_river_fish,,in_camp,,1
camp_plains_hunt,,in_camp,,1
camp_plains_hunt,3,has_companion,Guide,1
camp_plains_campfire,,in_camp,,1
camp_plains_campfire,3,has_companion,Translator,1
camp_plains_repair,,in_camp,,1
camp_plains_repair,,max_cart_durability,,15
camp_plains_repair,3,has_companion,Merchant,1
camp_desert_water,,in_camp,,1
camp_desert_water,3,has_companion,Guide,1
camp_desert_scorpion,,in_camp,,1
camp_desert_scorpion,3,has_companion,Healer,1
camp_desert_starmap,,in_camp,,1
camp_desert_starmap,3,has_companion,Translator,1
camp_highland_herbs,,in_camp,,1
camp_highland_herbs,3,has_companion,Healer,1
camp_highland_hotspring,,in_camp,,1
camp_highland_hotspring,3,has_companion,Guide,1
camp_highland_avalanche,,in_camp,,1
camp_highland_avalanche,,min_danger,,20
camp_highland_avalanche,3,has_companion,Guard,1
mystical_desert_djinn,3,has_companion,Translator,1
mystical_highland_spirit,3,has_companion,Guide,1
mystical_plains_prophecy,,in_camp,,1
mystical_plains_prophecy,3,has_companion,Healer,1
mystical_universal_omen,3,has_companion,Merchant,1
disaster_plains_flood,3,has_companion,Guide,1
disaster_desert_sandstorm,3,has_companion,Guard,1
disaster_highland_earthquake,3,has_companion,Healer,1
disaster_universal_lightning,3,has_companion,Merchant,1
combat_desert_ambush,,min_danger,,25
combat_desert_ambush,3,has_companion,Guard,1
combat_highland_wolves,3,has_companion,Guard,1
nav_desert_crossroads,3,has_companion,Translator,1
nav_highland_pass,3,has_companion,Guide,1
lang_plains_sogdian_merchant,2,min_language_proficiency,Sogdian,1
lang_plains_sogdian_merchant,3,has_companion,Translator,1
lang_desert_arabic_warning,2,min_language_proficiency,Arabic,1
lang_desert_arabic_warning,3,has_companion,Translator,1
lang_highland_tibetan_monk,2,min_language_proficiency,Tibetan,1
lang_highland_tibetan_monk,3,has_companion,Guide,1
lang_universal_persian_scholar,1,min_money,,15
lang_universal_persian_scholar,2,min_language_proficiency,Persian,1
lang_universal_persian_scholar,3,has_companion,Merchant,1
mystery_desert_tomb,3,has_companion,Guide,1
mystery_highland_inscription,3,has_companion,Translator,1
discovery_plains_caravan,3,has_companion,Merchant,1
discovery_universal_cache,3,has_companion,Guard,1
plains_chinese_official,3,has_companion,Translator,1
plains_horse_fair,1,min_money,,10
plains_horse_fair,3,has_companion,Merchant,1
plains_wounded_guard,3,has_companion,Healer,1
plains_river_crossing,3,has_companion,Guide,1
desert_spice_trader,1,min_money,,12
desert_spice_trader,3,has_companion,Merchant,1
desert_lost_pilgrim,3,has_companion,Healer,1
desert_caravan_guard,3,has_companion,Guard,1
desert_quicksand,3,has_companion,Guide,1
highland_tea_merchant,1,min_money,,10
highland_tea_merchant,3,has_companion,Merchant,1
highland_greek_traveler,3,has_companion,Translator,1
highland_sherpa_guide,3,has_companion,Guide,1
highland_rockfall,3,has_companion,Guard,1
universal_caravan_race,3,has_companion,Merchant,1
universal_sick_animal,3,has_companion,Healer,1
universal_map_seller,3,has_companion,Translator,1
universal_tax_collector,1,min_money,,10
universal_tax_collector,3,has_companion,Guard,1
crisis_famine_caravan,,max_food,,0
crisis_famine_caravan,3,has_companion,Healer,1
crisis_mutiny_porters,,max_morale,,15
crisis_mutiny_porters,1,min_money,,20
crisis_mutiny_porters,3,has_companion,Guard,1
crisis_plague_rumor,3,has_companion,Merchant,1
crisis_debt_trap,,max_money,,0
crisis_debt_trap,3,has_companion,Translator,1
city_bazaar_scam,,in_city,,1
city_bazaar_scam,3,has_companion,Merchant,1
city_caravanserai_tale,,in_city,,1
city_caravanserai_tale,3,has_companion,Translator,1
city_palace_audience,,in_city,,1
city_palace_audience,1,min_money,,15
city_palace_audience,3,has_companion,Guard,1
city_port_smuggler,,in_city,,1
city_port_smuggler,,city_modifier,PortAccess,1
city_port_smuggler,2,min_money,,12
city_port_smuggler,3,has_companion,Guard,1
quest_empire_start,,min_reputation,,25
quest_empire_start,,no_active_quest,quest_empire_1,1
quest_empire_start,,not_completed_quest,quest_empire_1,1
quest_empire_start,3,has_companion,Merchant,1
quest_mystic_start,,no_active_quest,quest_mystic_1,1
quest_mystic_start,,not_completed_quest,quest_mystic_1,1
quest_mystic_start,3,has_companion,Translator,1
quest_caravan_start,,min_reputation,,25
quest_caravan_start,,no_active_quest,quest_caravaneer_1,1
quest_caravan_start,,not_completed_quest,quest_caravaneer_1,1
quest_caravan_start,3,has_companion,Guide,1
quest_silk_start,,has_item,Brocade,1
quest_silk_start,,no_active_quest,quest_silk_1,1
quest_silk_start,,not_completed_quest,quest_silk_1,1
quest_silk_start,3,has_companion,Translator,1
road_pamir_caravan,,near_node,Kashgar,1
road_pamir_caravan,3,has_companion,Guide,1
road_taklamakan_well,,near_node,Kashgar,1
road_taklamakan_well,3,has_companion,Healer,1
road_gansu_patrol,,near_node,Lanzhou,1
road_gansu_patrol,1,min_money,,15
road_gansu_patrol,3,has_companion,Translator,1
road_levant_pirates,,near_node,Antioch,1
road_levant_pirates,3,has_companion,Guard,1
quest_artifact_start,,no_active_quest,quest_artifact_1,1
quest_artifact_start,,not_completed_quest,quest_artifact_1,1
quest_artifact_start,3,has_companion,Translator,1
event_empire1_complete,,active_quest,quest_empire_1,1
event_empire1_complete,,quest_stage,quest_empire_1,3
event_empire1_complete,,in_city,changan,1
event_empire1_complete,1,quest_available,quest_empire_2,1
event_mystic1_complete,,active_quest,quest_mystic_1,1
event_mystic1_complete,,quest_stage,quest_mystic_1,2
event_mystic1_complete,,in_city,anxi,1
event_mystic1_complete,1,quest_available,quest_mystic_2,1
event_caravaneer1_complete,,active_quest,quest_caravaneer_1,1
event_caravaneer1_complete,,quest_stage,quest_caravaneer_1,2
event_caravaneer1_complete,,in_city,anxi,1
event_caravaneer1_complete,1,quest_available,quest_caravaneer_2,1
event_silk1_complete,,active_quest,quest_silk_1,1
event_silk1_complete,,quest_stage,quest_silk_1,2
event_silk1_complete,,in_city,changan,1
event_silk1_complete,1,quest_available,quest_silk_2,1
event_artifact1_decipher,,active_quest,quest_artifact_1,1
event_artifact1_decipher,,quest_stage,quest_artifact_1,1
event_artifact1_complete,,active_quest,quest_artifact_1,1
event_artifact1_complete,,quest_stage,quest_artifact_1,2
event_artifact1_complete,1,quest_available,quest_artifact_2,1
camp_plains_snare,,in_camp,,1
camp_plains_berries,,in_camp,,1
camp_plains_shepherd_trade,,in_camp,,1
camp_desert_dates,,in_camp,,1
camp_desert_fox,,in_camp,,1
camp_desert_old_tracks,,in_camp,,1
camp_highland_pine,,in_camp,,1
camp_highland_goat,,in_camp,,1
camp_highland_ice_spring,,in_camp,,1
camp_plains_yurt,,in_camp,,1
camp_plains_shepherd_song,,in_camp,,1
camp_plains_night_rain,,in_camp,,1
camp_desert_cool_night,,in_camp,,1
camp_desert_star_prayer,,in_camp,,1
camp_desert_old_legend,,in_camp,,1
camp_highland_tea,,in_camp,,1
camp_highland_meditation,,in_camp,,1
camp_highland_blizzard_wait,,in_camp,,1
camp_plains_axle,,in_camp,,1
camp_plains_harness,,in_camp,,1
camp_plains_wheel_grease,,in_camp,,1
camp_desert_barrels,,in_camp,,1
camp_desert_tarp,,in_camp,,1
camp_desert_sand_clear,,in_camp,,1
camp_highland_horseshoes,,in_camp,,1
camp_highland_ropes,,in_camp,,1
camp_highland_snow_repair,,in_camp,,1
camp_order_plains_dispute,,in_camp,,1
camp_order_plains_watch,,in_camp,,1
camp_order_plains_discipline,,in_camp,,1
camp_order_desert_water,,in_camp,,1
camp_order_desert_rations,,in_camp,,1
camp_order_desert_sentries,,in_camp,,1
camp_order_highland_fatigue,,in_camp,,1
camp_order_highland_post,,in_camp,,1
camp_order_highland_rules,,in_camp,,1
camp_order_any_caravan_law,,in_camp,,1
camp_order_any_newcomer,,in_camp,,1
camp_plains_snare,3,min_skill,Survival,2
camp_plains_berries,3,has_companion,guide,1
camp_plains_shepherd_trade,3,has_companion,merchant,1
camp_desert_dates,3,min_skill,Survival,2
camp_desert_fox,3,has_companion,guide,1
camp_desert_old_tracks,3,has_companion,guide,1
camp_highland_pine,3,min_skill,Survival,2
camp_highland_goat,3,has_companion,guide,1
camp_highland_ice_spring,3,has_companion,healer,1
camp_plains_yurt,3,has_companion,translator,1
camp_plains_shepherd_song,3,min_skill,Charisma,2
camp_plains_night_rain,3,has_companion,healer,1
camp_desert_cool_night,3,min_skill,Charisma,2
camp_desert_star_prayer,3,has_companion,translator,1
camp_desert_old_legend,3,min_skill,Charisma,2
camp_highland_tea,3,has_companion,healer,1
camp_highland_meditation,3,has_companion,guide,1
camp_highland_blizzard_wait,3,has_companion,healer,1
camp_plains_axle,3,has_companion,merchant,1
camp_plains_harness,3,min_skill,Survival,2
camp_plains_wheel_grease,3,has_companion,merchant,1
camp_desert_barrels,3,has_companion,merchant,1
camp_desert_tarp,3,min_skill,Survival,2
camp_desert_sand_clear,3,has_companion,guide,1
camp_highland_horseshoes,3,has_companion,merchant,1
camp_highland_ropes,3,has_companion,guide,1
camp_highland_snow_repair,3,min_skill,Survival,2
camp_order_plains_dispute,3,min_skill,Charisma,2
camp_order_plains_watch,3,has_companion,guard,1
camp_order_plains_discipline,3,min_reputation,,5
camp_order_desert_water,3,has_companion,guide,1
camp_order_desert_rations,3,min_skill,Charisma,2
camp_order_desert_sentries,3,has_companion,guard,1
camp_order_highland_fatigue,3,min_skill,Charisma,2
camp_order_highland_post,3,has_companion,guard,1
camp_order_highland_rules,3,min_reputation,,5
camp_order_any_caravan_law,3,min_reputation,,3
camp_order_any_newcomer,3,has_companion,translator,1
event_empire2_complete,1,quest_available,quest_empire_3,1
event_empire3_complete,1,quest_available,quest_empire_4,1
event_empire4_complete,1,quest_available,quest_empire_5,1
event_mystic2_complete,1,quest_available,quest_mystic_3,1
event_mystic3_complete,1,quest_available,quest_mystic_4,1
event_mystic4_complete,1,quest_available,quest_mystic_5,1
event_caravaneer2_complete,1,quest_available,quest_caravaneer_3,1
event_caravaneer3_complete,1,quest_available,quest_caravaneer_4,1
event_caravaneer4_complete,1,quest_available,quest_caravaneer_5,1
event_silk2_complete,1,quest_available,quest_silk_3,1
event_silk3_complete,1,quest_available,quest_silk_4,1
event_silk4_complete,1,quest_available,quest_silk_5,1
event_artifact2_complete,1,quest_available,quest_artifact_3,1
event_artifact3_complete,1,quest_available,quest_artifact_4,1
event_artifact4_complete,1,quest_available,quest_artifact_5,1
