event_id,choice_index,skill_type,base_chance,fail_result_key
crisis_cart_emergency,1,Survival,0.3,event.crisis_cart_emergency.choice1.fail
crisis_pariah,2,Charisma,0.25,event.crisis_pariah.choice2.fail
crisis_hostile_locals,2,Charisma,0.2,event.crisis_hostile_locals.choice2.fail
silk_for_passage,3,Survival,0.35,event.silk_for_passage.choice3.fail
customs_check,2,Trade,0.25,event.customs_check.choice2.fail
fake_silk,2,Trade,0.3,event.fake_silk.choice2.fail
roadside_bundle,1,Survival,0.4,event.roadside_bundle.choice1.fail
caravan_exchange,1,Trade,0.35,event.caravan_exchange.choice1.fail
jade_cave,2,Survival,0.35,event.jade_cave.choice2.fail
village_festival,2,Charisma,0.4,event.village_festival.choice2.fail
pilgrim_group,2,Charisma,0.5,event.pilgrim_group.choice2.fail
camp_plains_hunt,2,Survival,0.3,event.camp_plains_hunt.choice2.fail
camp_plains_campfire,2,Charisma,0.35,event.camp_plains_campfire.choice2.fail
camp_plains_repair,1,Survival,0.25,event.camp_plains_repair.choice1.fail
camp_desert_water,2,Survival,0.3,event.camp_desert_water.choice2.fail
camp_desert_scorpion,2,Survival,0.25,event.camp_desert_scorpion.choice2.fail
camp_desert_starmap,2,Trade,0.35,event.camp_desert_starmap.choice2.fail
camp_highland_herbs,2,Survival,0.3,event.camp_highland_herbs.choice2.fail
camp_highland_hotspring,2,Charisma,0.35,event.camp_highland_hotspring.choice2.fail
camp_highland_avalanche,2,Survival,0.17,event.camp_highland_avalanche.choice2.fail
mystical_desert_djinn,2,Charisma,0.25,event.mystical_desert_djinn.choice2.fail
mystical_highland_spirit,2,Survival,0.2,event.mystical_highland_spirit.choice2.fail
mystical_plains_prophecy,2,Charisma,0.3,event.mystical_plains_prophecy.choice2.fail
mystical_universal_omen,2,Trade,0.35,event.mystical_universal_omen.choice2.fail
disaster_plains_flood,2,Survival,0.2,event.disaster_plains_flood.choice2.fail
disaster_desert_sandstorm,2,Survival,0.17,event.disaster_desert_sandstorm.choice2.fail
disaster_highland_earthquake,2,Survival,0.15,event.disaster_highland_earthquake.choice2.fail
disaster_universal_lightning,2,Trade,0.3,event.disaster_universal_lightning.choice2.fail
combat_desert_ambush,2,Survival,0.2,event.combat_desert_ambush.choice2.fail
combat_highland_wolves,2,Survival,0.25,event.combat_highland_wolves.choice2.fail
nav_desert_crossroads,2,Trade,0.3,event.nav_desert_crossroads.choice2.fail
nav_highland_pass,2,Survival,0.25,event.nav_highland_pass.choice2.fail
lang_plains_sogdian_merchant,2,Charisma,0.3,event.lang_plains_sogdian_merchant.choice2.fail
lang_desert_arabic_warning,2,Trade,0.35,event.lang_desert_arabic_warning.choice2.fail
lang_highland_tibetan_monk,2,Charisma,0.25,event.lang_highland_tibetan_monk.choice2.fail
lang_universal_persian_scholar,2,Trade,0.3,event.lang_universal_persian_scholar.choice2.fail
mystery_desert_tomb,2,Survival,0.25,event.mystery_desert_tomb.choice2.fail
mystery_highland_inscription,2,Trade,0.3,event.mystery_highland_inscription.choice2.fail
discovery_plains_caravan,2,Survival,0.3,event.discovery_plains_caravan.choice2.fail
discovery_universal_cache,2,Trade,0.25,event.discovery_universal_cache.choice2.fail
plains_chinese_official,2,Charisma,0.3,event.plains_chinese_official.choice2.fail
plains_horse_fair,2,Trade,0.35,event.plains_horse_fair.choice2.fail
plains_wounded_guard,2,Survival,0.3,event.plains_wounded_guard.choice2.fail
plains_river_crossing,2,Survival,0.25,event.plains_river_crossing.choice2.fail
desert_spice_trader,2,Trade,0.3,event.desert_spice_trader.choice2.fail
desert_lost_pilgrim,2,Charisma,0.35,event.desert_lost_pilgrim.choice2.fail
desert_caravan_guard,2,Trade,0.3,event.desert_caravan_guard.choice2.fail
desert_quicksand,2,Survival,0.2,event.desert_quicksand.choice2.fail
highland_tea_merchant,2,Trade,0.3,event.highland_tea_merchant.choice2.fail
highland_greek_traveler,2,Charisma,0.35,event.highland_greek_traveler.choice2.fail
highland_sherpa_guide,2,Trade,0.3,event.highland_sherpa_guide.choice2.fail
highland_rockfall,2,Survival,0.2,event.highland_rockfall.choice2.fail
universal_caravan_race,2,Trade,0.25,event.universal_caravan_race.choice2.fail
universal_sick_animal,2,Survival,0.3,event.universal_sick_animal.choice2.fail
universal_map_seller,2,Charisma,0.35,event.universal_map_seller.choice2.fail
universal_tax_collector,2,Trade,0.3,event.universal_tax_collector.choice2.fail
crisis_famine_caravan,2,Survival,0.2,event.crisis_famine_caravan.choice2.fail
crisis_mutiny_porters,2,Charisma,0.17,event.crisis_mutiny_porters.choice2.fail
crisis_plague_rumor,2,Trade,0.25,event.crisis_plague_rumor.choice2.fail
crisis_debt_trap,2,Trade,0.2,event.crisis_debt_trap.choice2.fail
city_bazaar_scam,2,Trade,0.25,event.city_bazaar_scam.choice2.fail
city_caravanserai_tale,2,Charisma,0.35,event.city_caravanserai_tale.choice2.fail
city_palace_audience,2,Charisma,0.2,event.city_palace_audience.choice2.fail
city_port_smuggler,2,Trade,0.3,event.city_port_smuggler.choice2.fail
quest_empire_start,2,Trade,0.3,event.quest_empire_start.choice2.fail
quest_mystic_start,2,Charisma,0.25,event.quest_mystic_start.choice2.fail
quest_caravan_start,2,Survival,0.3,event.quest_caravan_start.choice2.fail
quest_silk_start,2,Trade,0.25,event.quest_silk_start.choice2.fail
road_pamir_caravan,2,Survival,0.25,event.road_pamir_caravan.choice2.fail
road_taklamakan_well,2,Survival,0.2,event.road_taklamakan_well.choice2.fail
road_gansu_patrol,2,Charisma,0.3,event.road_gansu_patrol.choice2.fail
road_levant_pirates,2,Trade,0.25,event.road_levant_pirates.choice2.fail
camp_plains_snare,2,Survival,0.4,event.camp_plains_snare.choice2.fail
camp_plains_berries,2,Survival,0.5,event.camp_plains_berries.choice2.fail
camp_plains_shepherd_trade,2,Charisma,0.45,event.camp_plains_shepherd_trade.choice2.fail
camp_desert_dates,2,Survival,0.5,event.camp_desert_dates.choice2.fail
camp_desert_fox,2,Survival,0.35,event.camp_desert_fox.choice2.fail
camp_desert_old_tracks,2,Survival,0.4,event.camp_desert_old_tracks.choice2.fail
camp_highland_pine,2,Survival,0.5,event.camp_highland_pine.choice2.fail
camp_highland_goat,2,Survival,0.3,event.camp_highland_goat.choice2.fail
camp_highland_ice_spring,2,Survival,0.45,event.camp_highland_ice_spring.choice2.fail
camp_plains_yurt,2,Charisma,0.45,event.camp_plains_yurt.choice2.fail
camp_plains_shepherd_song,2,Charisma,0.5,event.camp_plains_shepherd_song.choice2.fail
camp_plains_night_rain,2,Survival,0.5,event.camp_plains_night_rain.choice2.fail
camp_desert_cool_night,2,Charisma,0.5,event.camp_desert_cool_night.choice2.fail
camp_desert_star_prayer,2,Charisma,0.45,event.camp_desert_star_prayer.choice2.fail
camp_desert_old_legend,2,Charisma,0.5,event.camp_desert_old_legend.choice2.fail
camp_highland_tea,2,Survival,0.5,event.camp_highland_tea.choice2.fail
camp_highland_meditation,2,Charisma,0.45,event.camp_highland_meditation.choice2.fail
camp_highland_blizzard_wait,2,Survival,0.4,event.camp_highland_blizzard_wait.choice2.fail
camp_plains_axle,2,Survival,0.4,event.camp_plains_axle.choice2.fail
camp_plains_harness,2,Survival,0.5,event.camp_plains_harness.choice2.fail
camp_plains_wheel_grease,2,Survival,0.5,event.camp_plains_wheel_grease.choice2.fail
camp_desert_barrels,2,Survival,0.4,event.camp_desert_barrels.choice2.fail
camp_desert_tarp,2,Survival,0.5,event.camp_desert_tarp.choice2.fail
camp_desert_sand_clear,2,Survival,0.5,event.camp_desert_sand_clear.choice2.fail
camp_highland_horseshoes,2,Survival,0.4,event.camp_highland_horseshoes.choice2.fail
camp_highland_ropes,2,Survival,0.35,event.camp_highland_ropes.choice2.fail
camp_highland_snow_repair,2,Survival,0.4,event.camp_highland_snow_repair.choice2.fail
camp_order_plains_dispute,2,Charisma,0.45,event.camp_order_plains_dispute.choice2.fail
camp_order_plains_watch,2,Charisma,0.5,event.camp_order_plains_watch.choice2.fail
camp_order_plains_discipline,2,Charisma,0.4,event.camp_order_plains_discipline.choice2.fail
camp_order_desert_water,2,Charisma,0.4,event.camp_order_desert_water.choice2.fail
camp_order_desert_rations,2,Charisma,0.45,event.camp_order_desert_rations.choice2.fail
camp_order_desert_sentries,2,Charisma,0.5,event.camp_order_desert_sentries.choice2.fail
camp_order_highland_fatigue,2,Charisma,0.4,event.camp_order_highland_fatigue.choice2.fail
camp_order_highland_post,2,Charisma,0.45,event.camp_order_highland_post.choice2.fail
camp_order_highland_rules,2,Charisma,0.45,event.camp_order_highland_rules.choice2.fail
camp_order_any_caravan_law,2,Charisma,0.5,event.camp_order_any_caravan_law.choice2.fail
camp_order_any_newcomer,2,Charisma,0.5,event.camp_order_any_newcomer.choice2.fail
quest_artifact_start,2,Trade,0.5,event.quest_artifact_start.choice2.fail
quest_caravaneer_start,2,Charisma,0.3,event.quest_caravaneer_start.choice2.fail
event_caravaneer1_hazard_1,1,Survival,0.5,event.event_caravaneer1_hazard_1.choice1.fail
event_caravaneer1_hazard_2,1,Survival,0.5,event.event_caravaneer1_hazard_2.choice1.fail
event_caravaneer2_hazard_1,1,Survival,0.5,event.event_caravaneer2_hazard_1.choice1.fail
event_caravaneer2_hazard_2,1,Survival,0.5,event.event_caravaneer2_hazard_2.choice1.fail
highland_ice_path,1,Survival,0.35,event.highland_ice_path.choice1.fail
highland_tibetan_patrol,2,Charisma,0.35,event.highland_tibetan_patrol.choice2.fail
highland_pamir_bandits,2,Survival,0.3,event.highland_pamir_bandits.choice2.fail
highland_warrior_monk,2,Survival,0.3,event.highland_warrior_monk.choice2.fail
highland_mountain_guide,2,Survival,0.3,event.highland_mountain_guide.choice2.fail
highland_pass_lights,1,Survival,0.3,event.highland_pass_lights.choice1.fail
highland_cart_slide,1,Survival,0.3,event.highland_cart_slide.choice1.fail
highland_broken_axle,1,Survival,0.35,event.highland_broken_axle.choice1.fail
highland_crystal_cave,1,Survival,0.3,event.highland_crystal_cave.choice1.fail
highland_abandoned_shrine,1,Charisma,0.35,event.highland_abandoned_shrine.choice1.fail
event_empire2_negotiate,2,Trade,0.4,event.event_empire2_negotiate.choice2.fail
event_mystic3_find,1,Survival,0.4,event.event_mystic3_find.choice1.fail
event_caravaneer3_clue_1,1,Survival,0.45,event.event_caravaneer3_clue_1.choice1.fail
event_caravaneer3_clue_2,1,Survival,0.45,event.event_caravaneer3_clue_2.choice1.fail
event_caravaneer3_clue_3,1,Survival,0.45,event.event_caravaneer3_clue_3.choice1.fail
event_caravaneer4_defend,1,Survival,0.4,event.event_caravaneer4_defend.choice1.fail
event_silk2_find,2,Trade,0.4,event.event_silk2_find.choice2.fail
event_silk3_recon,1,Survival,0.45,event.event_silk3_recon.choice1.fail
event_silk3_breakin,1,Survival,0.45,event.event_silk3_breakin.choice1.fail
event_silk4_find_masters,1,Trade,0.45,event.event_silk4_find_masters.choice1.fail
event_silk4_launch,1,Trade,0.45,event.event_silk4_launch.choice1.fail
event_artifact3_gather,1,Charisma,0.45,event.event_artifact3_gather.choice1.fail
event_artifact3_unmask,1,Charisma,0.4,event.event_artifact3_unmask.choice1.fail
event_artifact4_coords,1,Survival,0.45,event.event_artifact4_coords.choice1.fail
event_artifact4_enter,1,Survival,0.4,event.event_artifact4_enter.choice1.fail
event_artifact1_decipher,1,Trade,0.4,event.event_artifact1_decipher.choice1.fail
event_artifact2_khotan,1,Survival,0.4,event.event_artifact2_khotan.choice1.fail
event_artifact2_balkh,1,Charisma,0.4,event.event_artifact2_balkh.choice1.fail
event_artifact2_kucha,1,Survival,0.4,event.event_artifact2_kucha.choice1.fail
event_empire1_road_rain,2,Survival,0.55,event.event_empire1_road_rain.choice2.fail
event_empire1_road_moths,2,Survival,0.5,event.event_empire1_road_moths.choice2.fail
event_empire4_road_river,2,Survival,0.55,event.event_empire4_road_river.choice2.fail
event_empire4_road_heat,2,Survival,0.5,event.event_empire4_road_heat.choice2.fail
