quest_id,name_key,description_key,icon_name,branch_id,order_in_branch,start_city_id,giver_building,briefing_event_id
quest_artifact_4,quest.quest_artifact_4.name,quest.quest_artifact_4.description,,legend_of_artifacts,3,samarkand,Archive,quest_artifact4_start
quest_artifact_5,quest.quest_artifact_5.name,quest.quest_artifact_5.description,,legend_of_artifacts,4,osh,Tavern,quest_artifact5_start
quest_bg_merchant_1,quest.quest_bg_merchant_1.name,quest.quest_bg_merchant_1.description,,bg_merchant_story,1,changan,Guild,bg_merchant_briefing
quest_bg_merchant_2,quest.quest_bg_merchant_2.name,quest.quest_bg_merchant_2.description,,bg_merchant_story,2,,,
quest_bg_merchant_3,quest.quest_bg_merchant_3.name,quest.quest_bg_merchant_3.description,,bg_merchant_story,3,,,
quest_bg_caravaneer_1,quest.quest_bg_caravaneer_1.name,quest.quest_bg_caravaneer_1.description,,bg_caravaneer_story,1,lanzhou,Barracks,bg_caravaneer_briefing
quest_bg_caravaneer_2,quest.quest_bg_caravaneer_2.name,quest.quest_bg_caravaneer_2.description,,bg_caravaneer_story,2,,,
quest_bg_caravaneer_3,quest.quest_bg_caravaneer_3.name,quest.quest_bg_caravaneer_3.description,,bg_caravaneer_story,3,,,
quest_bg_wanderer_1,quest.quest_bg_wanderer_1.name,quest.quest_bg_wanderer_1.description,,bg_wanderer_story,1,jiuquan,Archive,bg_wanderer_briefing
quest_bg_wanderer_2,quest.quest_bg_wanderer_2.name,quest.quest_bg_wanderer_2.description,,bg_wanderer_story,2,,,
quest_bg_wanderer_3,quest.quest_bg_wanderer_3.name,quest.quest_bg_wanderer_3.description,,bg_wanderer_story,3,,,
quest_bg_diplomat_1,quest.quest_bg_diplomat_1.name,quest.quest_bg_diplomat_1.description,,bg_diplomat_story,1,hangzhou,Archive,bg_diplomat_briefing
quest_bg_diplomat_2,quest.quest_bg_diplomat_2.name,quest.quest_bg_diplomat_2.description,,bg_diplomat_story,2,,,
quest_bg_diplomat_3,quest.quest_bg_diplomat_3.name,quest.quest_bg_diplomat_3.description,,bg_diplomat_story,3,,,
quest_bg_smuggler_1,quest.quest_bg_smuggler_1.name,quest.quest_bg_smuggler_1.description,,bg_smuggler_story,1,quanzhou,Guild,bg_smuggler_briefing
quest_bg_smuggler_2,quest.quest_bg_smuggler_2.name,quest.quest_bg_smuggler_2.description,,bg_smuggler_story,2,,,
quest_bg_smuggler_3,quest.quest_bg_smuggler_3.name,quest.quest_bg_smuggler_3.description,,bg_smuggler_story,3,,,
quest_bg_bandit_1,quest.quest_bg_bandit_1.name,quest.quest_bg_bandit_1.description,,bg_bandit_story,1,yumen,Temple,bg_bandit_briefing
quest_bg_bandit_2,quest.quest_bg_bandit_2.name,quest.quest_bg_bandit_2.description,,bg_bandit_story,2,,,
quest_bg_bandit_3,quest.quest_bg_bandit_3.name,quest.quest_bg_bandit_3.description,,bg_bandit_story,3,,,
quest_bg_scholar_1,quest.quest_bg_scholar_1.name,quest.quest_bg_scholar_1.description,,bg_scholar_story,1,beijing,Archive,bg_scholar_briefing
quest_bg_scholar_2,quest.quest_bg_scholar_2.name,quest.quest_bg_scholar_2.description,,bg_scholar_story,2,,,
quest_bg_scholar_3,quest.quest_bg_scholar_3.name,quest.quest_bg_scholar_3.description,,bg_scholar_story,3,,,
quest_bg_pilgrim_1,quest.quest_bg_pilgrim_1.name,quest.quest_bg_pilgrim_1.description,,bg_pilgrim_story,1,changan,Temple,bg_pilgrim_briefing
quest_bg_pilgrim_2,quest.quest_bg_pilgrim_2.name,quest.quest_bg_pilgrim_2.description,,bg_pilgrim_story,2,,,
quest_bg_pilgrim_3,quest.quest_bg_pilgrim_3.name,quest.quest_bg_pilgrim_3.description,,bg_pilgrim_story,3,,,
