screen_id,section_id,element_id,name_id,name_key,notes,,loc_ru,loc_en,link
Pause,Main,Button,Settings,UI.Pause.Main.Button.Settings,,,Настройки,Settings,перевод
Pause,Main,Button,ExitToMenu,UI.Pause.Main.Button.ExitToMenu,,,В главное меню,Main Menu,перевод
SaveSlot,Main,Text,NewSave,UI.SaveSlot.Main.Text.NewSave,,,+ Новое сохранение,+ New Save,перевод
MainMenu,Main,Header,GameTitle,UI.MainMenu.Main.Header.GameTitle,Название игры,,Silk Path Journey,Silk Path Journey,перевод
Pause,Main,Button,Quit,UI.Pause.Main.Button.Quit,,,Выход из игры,Quit Game,перевод
Trader,Main,Header,Main,UI.Trader.Main.Header.Main,,,Торговец,Trader,перевод
Trader,Header,Header,Profile,UI.Trader.Header.Profile,,,Профиль,Profile,перевод
Trader,Header,Header,Skills,UI.Trader.Header.Skills,,,Навыки,Skills,перевод
Trader,Header,Header,Languages,UI.Trader.Header.Languages,,,Языки,Languages,перевод
Trader,Profile,Text,Backstory,UI.Trader.Profile.Backstory,,,Предыстория,Backstory,перевод
Trader,Profile,Text,Cart,UI.Trader.Profile.Cart,,,Телега,Cart,перевод
Trader,Skill,Text,SurvivalName,UI.Trader.Skill.Survival.Name,,,Выживание,Survival,перевод
Trader,Skill,Text,SurvivalDesc,UI.Trader.Skill.Survival.Description,,,Влияет на события и кризисы,Affects events and crises,перевод
Trader,Skill,Text,CharismaName,UI.Trader.Skill.Charisma.Name,,,Харизма,Charisma,перевод
Trader,Skill,Text,CharismaDesc,UI.Trader.Skill.Charisma.Description,,,Влияет на переговоры и найм,Affects negotiations and hiring,перевод
Trader,Skill,Text,TradeName,UI.Trader.Skill.Trade.Name,,,Торговля,Trade,перевод
Trader,Skill,Text,TradeDesc,UI.Trader.Skill.Trade.Description,,,Влияет на цены и сделки,Affects prices and deals,перевод
Event,Outcome,Text,SkillCheckSuccess,UI.Event.Outcome.Text.SkillCheckSuccess,,,Проверка {skill_name}: Успех!,Skill check {skill_name}: Success!,перевод
Event,Outcome,Text,SkillCheckFail,UI.Event.Outcome.Text.SkillCheckFail,,,Проверка {skill_name}: Провал!,Skill check {skill_name}: Failure!,перевод
Event,Outcome,Text,Gain,UI.Event.Outcome.Text.Gain,,,Вы получили: {details},You received: {details},перевод
Event,Outcome,Text,Loss,UI.Event.Outcome.Text.Loss,,,Вы потеряли: {details},You lost: {details},перевод
Event,Outcome,Resource,Money,UI.Event.Outcome.Resource.Money,,,монет,gold,перевод
Event,Outcome,Resource,Food,UI.Event.Outcome.Resource.Food,,,провизии,supplies,перевод
Event,Outcome,Resource,Danger,UI.Event.Outcome.Resource.Danger,,,опасности,danger,перевод
Event,Outcome,Resource,Durability,UI.Event.Outcome.Resource.Durability,,,прочности,durability,перевод
